Componente,Texto breve del objeto,count,tipo
111003,ACIDO ASCORBICO,128,excipiente
111020,AMONIACO 25%,133,excipiente
111042,*Z6*DABEERSEN-503 / DISSOLVINE D-40,1,colorante
111095,PROPILENGLICOL,6,excipiente
111103,TRANSCUTOL CG,128,excipiente
111112,LOWACRYL ORANGE-31,3,colorante
111113,*Z6 VIBRACOLOR  CITRUS YELLOW,1,colorante
111114,ARIANOR CHERRY RED/VIBRACOLOR RUBY RED,4,colorante
111117,AGUA DESIONIZADA,134,agua
111151,MERQUAT 280/ SAFIQUAT-22,129,excipiente
111153,SODIO SULFITO ANHIDRO,107,excipiente
111160,CIRE DE LANOL/SINNOWAX AO,134,emulsionante
111161,NAFOL 16-18/LANETTE O,117,emulsionante
111170,CERA DE ABEJAS-BEEWAX,3,excipiente
111203,GENENCARE OSMS BA/BETAFIN BP,7,excipiente
111426,MONOETANOLAMINA 99 % PURETE,8,excipiente
111440,VASELINA FILANTE NZ41-EM,31,excipiente
111501,RODOL RS /JAROCOL RL,58,colorante
111502,RODOL P BASE (OT),88,colorante
111503,RODOL EG /JAROCOL MAP,70,colorante
111504,*Z6 COLORANTE PTD,2,colorante
111505,RODOL 6AMC/CHEMATEK 00269,1,colorante
111509,COLORANTE 2A3HP,2,colorante
111520,RODOL PAOC/CHEMATEK-00216,52,colorante
111521,RODOL BLFX/-BONDECOLOR BLFX,105,colorante
111522,RODOL ERN /COLOREX 1 NAP,27,colorante
111523,RODOL 24DAPE/CHEMATEK 00326,25,colorante
111524,RODOL  PMP/JAROCOL PMP,29,colorante
111527,RODOL GRAY HED / JAROCOL BHP,50,colorante
111531,RODOL 9R,20,colorante
111532,H.C. YELLOW 4,5,colorante
111535,RODOL 2 MR/CHEMATEK CODE 00102,50,colorante
111536,RODOL PAOX/COLOREX PAOX,10,colorante
111537,RODOL 6CP/CHEMATEK-00235,5,colorante
111538,CHEMATEK-CODE-00302-JACOROL AHP,14,colorante
111540,RODOL XDAT,2,colorante
111724,AZUL ULTRAMAR B 6554,6,colorante
111809,PERFUME XANADU,10,excipiente
111892,PERFUME COSMETIC 6044P,28,excipiente
111940,NATRLQUEST E 30,133,excipiente
111952,STRUCTURE ZEA STARCH,134,excipiente
120059,ASTROPHOS HC2,96,emulsionante
120098,UTMF CERAMIDE III SILICON FREE,10,excipiente
120126,SILKROM WA 40,134,excipiente
120146,PERFUME BAMBOO LOTUS FLOWER 2048692,95,excipiente
120149,AQ-SAVE,101,excipiente
120150,ARGININE,102,excipiente
120152,JAROCOL MBB,2,colorante
120204,H.C. YELLOW 2,1,colorante
