,Cantidad total,Cantidad total,Cantidad total,Cantidad total
tipo,agua,colorante,emulsionante,excipiente
Material,,,,
620005,762.5,2.5,170.0,65.0
620025,663.0,1.4,200.0,135.6
620075,626.018,9.120000000000001,190.0,174.862
620105,570.638,32.5,220.0,176.862
620115,586.334,13.804,220.0,179.862
620205,590.6,20.0,230.0,167.362
620305,649.138,4.0,180.0,166.862
620315,650.638,4.0,150.0,195.362
620405,576.138,34.0,180.0,209.862
620505,682.338,1.8,190.0,125.862
620705,530.138,30.0,240.0,199.862
620905,681.438,2.7,190.0,125.862
620945,681.5,3.0,140.0,175.5
620955,682.55,1.95,140.0,175.5
620995,681.8,2.7,140.0,175.5
621005,501.535,60.5,230.0,207.965
621055,588.835,30.7,150.0,230.465
621115,586.826,13.312000000000001,220.0,179.862
621705,501.625,60.41,230.0,207.965
622075,577.535,39.0,150.0,233.465
623005,486.635,45.4,260.0,207.965
623225,589.995,29.54,210.0,170.465
623525,605.835,38.2,160.0,195.965
624005,490.735,33.8,270.0,205.465
624085,510.735,49.3,270.0,169.965
624455,515.635,50.9,200.0,233.465
624505,578.835,28.2,220.0,172.965
624605,539.035,30.5,260.0,170.465
625005,546.625,27.91,220.0,205.465
625065,483.938,41.2,260.0,214.862
625085,525.738,33.4,270.0,170.862
625135,598.322,16.816,210.0,174.862
625175,530.398,29.740000000000002,260.0,179.862
625225,586.638,23.5,210.0,179.862
625285,593.638,23.5,180.0,202.862
625305,549.088,33.55,210.0,207.362
625365,571.138,31.0,180.0,217.862
625445,466.238,59.9,260.0,213.862
625505,547.238,27.900000000000002,210.0,214.862
625525,578.938,29.2,215.0,176.862
625555,532.338,31.8,230.0,205.862
625595,573.638,32.5,215.0,178.862
625605,556.638,31.0,220.0,192.362
625645,564.438,20.7,220.0,194.862
626005,570.938,29.2,220.0,179.862
626065,555.238,24.9,240.0,179.862
626085,528.838,31.299999999999997,260.0,179.862
626125,567.496,20.142,220.0,192.362
626135,601.078,11.56,210.0,177.362
626175,565.098,25.04,230.0,179.862
626205,633.178,6.46,160.0,200.362
626305,577.138,30.5,200.0,192.362
626405,594.138,16.0,210.0,179.862
626445,593.638,16.0,185.0,205.362
626455,513.238,51.400000000000006,230.0,205.362
626495,529.438,35.2,230.0,205.362
626555,557.438,25.2,240.0,177.362
626575,591.938,25.2,180.0,202.862
626585,592.938,24.2,180.0,202.862
626595,552.638,29.5,240.0,178.862
626605,567.698,34.94,230.0,167.362
626615,495.538,32.099999999999994,260.0,212.362
626655,539.638,30.5,250.0,179.862
626665,488.638,36.5,260.0,214.862
626955,556.138,24.5,240.0,179.362
626995,549.438,23.2,250.0,177.362
627005,592.238,17.9,210.0,179.862
627065,583.388,17.75,220.0,178.862
627085,536.588,23.55,260.0,179.862
627125,603.627,14.011,190.0,192.362
627135,626.458,8.68,190.0,174.862
627175,618.723,13.915,190.0,177.362
627305,605.838,12.3,190.0,191.862
627325,605.738,14.4,190.0,189.862
627335,627.638,13.0,160.0,199.362
627345,611.138,13.5,160.0,215.362
627365,605.938,14.2,190.0,189.862
627435,613.638,20.5,190.0,175.862
627445,617.408,9.73,195.0,177.862
627455,596.968,25.669999999999998,200.0,177.362
627465,600.338,14.8,210.0,174.862
627485,606.468,25.67,165.0,202.862
627495,560.188,24.45,210.0,205.362
627505,576.638,13.5,240.0,169.862
627595,567.138,27.5,200.0,205.362
627605,597.238,15.4,210.0,177.362
627615,505.238,22.9,260.0,211.862
627645,625.758,9.379999999999999,190.0,174.862
627655,579.338,20.8,220.0,179.862
627665,495.138,30.0,260.0,214.862
628005,621.038,12.1,190.0,176.862
628065,613.188,10.95,200.0,175.862
628085,579.478,13.66,200.0,206.862
628125,600.148,9.99,200.0,189.862
628135,617.438,7.199999999999999,200.0,175.362
628175,613.258,11.879999999999999,200.0,174.862
628205,646.318,3.3200000000000003,150.0,200.362
628305,618.338,6.800000000000001,200.0,174.862
628345,620.638,14.5,190.0,174.862
628405,623.368,10.77,190.0,175.862
628445,605.358,13.78,205.0,175.862
628495,570.638,19.0,205.0,205.362
628605,613.538,9.1,200.0,177.362
628645,611.238,11.9,200.0,176.862
628815,528.232,4.82,180.0,286.948
628825,533.572,1.48,180.0,284.948
628835,530.302,2.75,180.0,286.948
629005,646.242,7.0,170.0,178.75799999999998
629065,615.642,6.1,200.0,178.25799999999998
629085,600.292,10.450000000000001,180.0,209.25799999999998
629215,613.322,4.92,190.0,191.75799999999998
629225,650.29,3.95,170.0,175.76
629305,647.162,6.08,170.0,176.75799999999998
629325,628.817,5.425,190.0,175.75799999999998
629335,640.642,8.6,150.0,200.75799999999998
629345,652.742,5.5,140.0,201.75799999999998
629605,639.342,4.9,180.0,175.75799999999998
629635,654.242,5.5,140.0,200.25799999999998
629805,653.712,2.5300000000000002,170.0,173.75799999999998
629825,650.292,3.95,170.0,175.75799999999998
629835,651.332,1.91,170.0,176.75799999999998
629845,649.492,5.75,170.0,174.75799999999998
629865,642.742,7.0,150.0,200.25799999999998
629875,601.777,7.465,200.0,190.75799999999998
629905,540.052,,180.0,279.948
629915,528.232,4.82,180.0,286.948
629925,535.082,0.97,180.0,283.948
629935,549.052,1.0,160.0,289.948
629945,652.102,2.14,145.0,200.75799999999998
629955,596.043,4.5200000000000005,150.0,249.437
629965,599.383,1.18,150.0,249.437
629975,597.13,0.26,150.0,252.61
629985,635.342,3.4,170.0,191.25799999999998
629995,673.138,,170.0,156.862
